objective_id,initial_status,final_status,official_source,official_pages,audit_finding,repair
"IG-2.2-03","imprecise_evidence","verified","0478-SYL-2026-2028-V6","pages 15","The content was present, but the coverage-row requirement paraphrase omitted an official detail.","Refined the requirement to name ISBN and barcode check-digit use."
"IG-2.2-04","partial","verified","0478-SYL-2026-2028-V6","pages 15","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-2.3-01","partial","verified","0478-SYL-2026-2028-V6","pages 15","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-2.3-02","partial","verified","0478-SYL-2026-2028-V6","pages 15","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.1-01","partial","verified","0478-SYL-2026-2028-V6","pages 16","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.1-02","verified","verified","0478-SYL-2026-2028-V6","pages 16","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-3.1-03","partial","verified","0478-SYL-2026-2028-V6","pages 16","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.1-04","partial","verified","0478-SYL-2026-2028-V6","pages 16","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.1-05","verified","verified","0478-SYL-2026-2028-V6","pages 16","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-3.2-01","verified","verified","0478-SYL-2026-2028-V6","pages 17","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-3.2-02","partial","verified","0478-SYL-2026-2028-V6","pages 17","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.2-03a","partial","verified","0478-SYL-2026-2028-V6","pages 17","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.2-03b","partial","verified","0478-SYL-2026-2028-V6","pages 17","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.3-01","partial","verified","0478-SYL-2026-2028-V6","pages 18","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.3-02","verified","verified","0478-SYL-2026-2028-V6","pages 18","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-3.3-03","partial","verified","0478-SYL-2026-2028-V6","pages 18","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.3-04","imprecise_evidence","verified","0478-SYL-2026-2028-V6","pages 18","The content was present, but the coverage-row requirement paraphrase omitted an official detail.","Refined the requirement to state why virtual memory is necessary."
"IG-3.3-05","verified","verified","0478-SYL-2026-2028-V6","pages 18","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-3.3-06","verified","verified","0478-SYL-2026-2028-V6","pages 18","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-3.4-01","verified","verified","0478-SYL-2026-2028-V6","pages 19","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-3.4-02","partial","verified","0478-SYL-2026-2028-V6","pages 19","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.4-03","partial","verified","0478-SYL-2026-2028-V6","pages 19","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-3.4-04","verified","verified","0478-SYL-2026-2028-V6","pages 19","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-4.1-01","verified","verified","0478-SYL-2026-2028-V6","pages 19-20","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-4.1-02","partial","verified","0478-SYL-2026-2028-V6","pages 19-20","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-4.1-03","partial","verified","0478-SYL-2026-2028-V6","pages 19-20","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-4.1-04","verified","verified","0478-SYL-2026-2028-V6","pages 19-20","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-4.2-01","verified","verified","0478-SYL-2026-2028-V6","pages 20-21","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-4.2-02","partial","verified","0478-SYL-2026-2028-V6","pages 20-21","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-4.2-03","verified","verified","0478-SYL-2026-2028-V6","pages 20-21","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-4.2-04","verified","verified","0478-SYL-2026-2028-V6","pages 20-21","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-4.2-05","verified","verified","0478-SYL-2026-2028-V6","pages 20-21","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-5.1-01","verified","verified","0478-SYL-2026-2028-V6","pages 21-22","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-5.1-02","verified","verified","0478-SYL-2026-2028-V6","pages 21-22","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-5.1-03","partial","verified","0478-SYL-2026-2028-V6","pages 21-22","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-5.1-04","verified","verified","0478-SYL-2026-2028-V6","pages 21-22","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-5.1-05","verified","verified","0478-SYL-2026-2028-V6","pages 21-22","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-5.1-06","verified","verified","0478-SYL-2026-2028-V6","pages 21-22","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-5.2-01","partial","verified","0478-SYL-2026-2028-V6","pages 22","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-5.2-02","verified","verified","0478-SYL-2026-2028-V6","pages 22","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-5.3-01","incorrect","verified","0478-SYL-2026-2028-V6","pages 22-23","Coverage was present, but one DDoS explanation treated botnet infection as universal rather than a common route.","Narrowed the DDoS claim and added a targeted threat-process-and-aim drill with answers."
"IG-5.3-02","partial","verified","0478-SYL-2026-2028-V6","pages 22-23","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-6.1-01","verified","verified","0478-SYL-2026-2028-V6","pages 23","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-6.1-02","verified","verified","0478-SYL-2026-2028-V6","pages 23","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-6.2-01","partial","verified","0478-SYL-2026-2028-V6","pages 24","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-6.2-02","partial","verified","0478-SYL-2026-2028-V6","pages 24","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-6.2-03","verified","verified","0478-SYL-2026-2028-V6","pages 24","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-6.3-01","verified","verified","0478-SYL-2026-2028-V6","pages 24","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-6.3-02","verified","verified","0478-SYL-2026-2028-V6","pages 24","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-6.3-03","verified","verified","0478-SYL-2026-2028-V6","pages 24","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-01a","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-01b","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-01c","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-01d","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-02a","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-02b","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-02c","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-03a","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-03b","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-04a","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-04b","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-04c","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-04d","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-05a","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-05b","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-06","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-07","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-08","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-09a","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-7-09b","partial","verified","0478-SYL-2026-2028-V6","pages 25-26","Program-code practice existed, but the Paper 2 pseudocode-only boundary outside the final 15-mark scenario was not explicit.","Added the Paper 2 response-language rule and the permitted final-scenario languages."
"IG-7-09c","verified","verified","0478-SYL-2026-2028-V6","pages 25-26","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.1-01","verified","verified","0478-SYL-2026-2028-V6","pages 27-29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.1-02","verified","verified","0478-SYL-2026-2028-V6","pages 27-29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.1-03","verified","verified","0478-SYL-2026-2028-V6","pages 27-29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.1-04","verified","verified","0478-SYL-2026-2028-V6","pages 27-29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.1-05","partial","verified","0478-SYL-2026-2028-V6","pages 27-29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.1-06","partial","verified","0478-SYL-2026-2028-V6","pages 27-29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.1-07","partial","verified","0478-SYL-2026-2028-V6","pages 27-29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.1-08","partial","verified","0478-SYL-2026-2028-V6","pages 27-29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.1-09","verified","verified","0478-SYL-2026-2028-V6","pages 27-29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.1-10","verified","verified","0478-SYL-2026-2028-V6","pages 27-29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.1-11","partial","verified","0478-SYL-2026-2028-V6","pages 27-29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.1-12","verified","verified","0478-SYL-2026-2028-V6","pages 27-29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.1-13","partial","verified","0478-SYL-2026-2028-V6","pages 27-29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.1-14","partial","verified","0478-SYL-2026-2028-V6","pages 27-29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.1-15","verified","verified","0478-SYL-2026-2028-V6","pages 27-29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.2-01","partial","verified","0478-SYL-2026-2028-V6","pages 29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.2-02","partial","verified","0478-SYL-2026-2028-V6","pages 29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.2-03","partial","verified","0478-SYL-2026-2028-V6","pages 29","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-8.3-01","verified","verified","0478-SYL-2026-2028-V6","pages 29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.3-02a","verified","verified","0478-SYL-2026-2028-V6","pages 29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.3-02b","verified","verified","0478-SYL-2026-2028-V6","pages 29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-8.3-02c","verified","verified","0478-SYL-2026-2028-V6","pages 29","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-9-01","verified","verified","0478-SYL-2026-2028-V6","pages 30","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-9-02","partial","verified","0478-SYL-2026-2028-V6","pages 30","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-9-03","verified","verified","0478-SYL-2026-2028-V6","pages 30","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-9-04","partial","verified","0478-SYL-2026-2028-V6","pages 30","Coverage existed, but the cited practice or answer did not independently isolate every part of the compound requirement.","Added a targeted syllabus drill and answer, then linked it from coverage.md."
"IG-10-01","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-02","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03a","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03b","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03c","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03d","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03e","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03f","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03g","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03h","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
"IG-10-03i","verified","verified","0478-SYL-2026-2028-V6","pages 31","Teaching, practice and answer evidence aligned with the official requirement.","No content change required."
